transaction_id,user_id,transaction_date,transaction_type,amount_ngn,status,channel,region,is_duplicate
TXN-0001,USR-3615,11/01/2024,Transfer,29900,Failed,Web,Lagos,FALSE
TXN-0002,USR-1106,15/01/2024,Deposit,91310,Success,Web,Ibadan,FALSE
TXN-0003,USR-2679,23/01/2024,Transfer,48340,Pending,USSD,Lagos,TRUE
TXN-0004,USR-2535,09/01/2024,Withdrawal,15660,Success,Web,Lagos,FALSE
TXN-0005,USR-7873,21/01/2024,Airtime,21040,Success,USSD,Unknown,FALSE
TXN-0006,USR-6574,25/01/2024,Transfer,7100,Success,App,Abuja,FALSE
TXN-0007,USR-4527,31/01/2024,Deposit,18930,Success,Agent,Abuja,FALSE
TXN-0003,USR-2424,05/01/2024,Airtime,441650,Success,Agent,Kano,TRUE
TXN-0009,USR-9935,05/01/2024,Deposit,4540,Failed,USSD,Abuja,FALSE
TXN-0010,USR-7924,22/01/2024,Withdrawal,0,Pending,Web,Ibadan,FALSE
TXN-0011,USR-5552,31/01/2024,Transfer,49680,Failed,Web,Lagos,FALSE
TXN-0012,USR-7912,14/01/2024,Airtime,428580,Success,USSD,Unknown,FALSE
TXN-0013,USR-4527,04/01/2024,Bill Payment,4660,Success,USSD,Ibadan,FALSE
TXN-0014,USR-3615,30/01/2024,Deposit,44250,Success,Web,Kano,FALSE
TXN-0015,USR-9935,02/01/2024,Airtime,10610,Failed,USSD,Abuja,TRUE
TXN-0016,USR-8359,16/01/2024,Deposit,326650,Success,USSD,Ibadan,FALSE
TXN-0017,USR-3615,17/01/2024,Airtime,402160,Success,Agent,Lagos,FALSE
TXN-0018,USR-9935,08/01/2024,Transfer,358440,Success,USSD,Lagos,FALSE
TXN-0019,USR-5506,23/01/2024,Transfer,9420,Success,USSD,Kano,FALSE
TXN-0020,USR-8359,16/01/2024,Airtime,429240,Success,USSD,Unknown,FALSE
TXN-0021,USR-7924,14/01/2024,Airtime,11350,Success,Agent,Port Harcourt,FALSE
TXN-0015,USR-5552,24/01/2024,Transfer,261090,Success,App,Abuja,TRUE
TXN-0023,USR-2679,07/01/2024,Deposit,4180,Success,USSD,Lagos,FALSE
TXN-0024,USR-4811,26/01/2024,Deposit,391910,Failed,App,Abuja,FALSE
TXN-0025,USR-3286,14/01/2024,Withdrawal,4440,Failed,App,Port Harcourt,FALSE
TXN-0026,USR-2424,30/01/2024,Withdrawal,415210,Pending,Agent,Abuja,FALSE
TXN-0027,USR-2679,10/01/2024,Airtime,435740,Success,Web,Lagos,FALSE
TXN-0028,USR-1409,19/01/2024,Withdrawal,4620,Pending,App,Abuja,FALSE
TXN-0029,USR-5506,20/01/2024,Transfer,112860,Success,App,Unknown,FALSE
TXN-0030,USR-5506,14/01/2024,Deposit,4780,Success,Web,Abuja,FALSE
TXN-0031,USR-2424,13/01/2024,Airtime,2960,Success,App,Lagos,FALSE
TXN-0032,USR-4257,07/01/2024,Deposit,2670,Failed,Web,Kano,FALSE
TXN-0033,USR-3286,15/01/2024,Deposit,473150,Success,Web,Lagos,FALSE
TXN-0034,USR-3547,05/01/2024,Bill Payment,0,Success,Web,Ibadan,FALSE
TXN-0035,USR-2679,23/01/2024,Bill Payment,46560,Success,Web,Lagos,FALSE
TXN-0036,USR-5506,21/01/2024,Withdrawal,7890,Failed,Web,Abuja,FALSE
TXN-0037,USR-1106,15/01/2024,Deposit,4000,Success,USSD,Unknown,FALSE
TXN-0038,USR-1409,27/01/2024,Bill Payment,1710,Success,App,Kano,FALSE
TXN-0039,USR-2679,22/01/2024,Airtime,459000,Pending,Agent,Ibadan,FALSE
TXN-0040,USR-1106,05/01/2024,Airtime,1830,Success,Web,Port Harcourt,FALSE
TXN-0041,USR-7924,22/01/2024,Airtime,462810,Success,App,Port Harcourt,FALSE
TXN-0042,USR-9935,07/01/2024,Withdrawal,3360,Success,USSD,Port Harcourt,FALSE
TXN-0043,USR-1520,09/01/2024,Transfer,386320,Success,Web,Lagos,FALSE
TXN-0044,USR-5012,29/01/2024,Bill Payment,1960,Success,Agent,Kano,FALSE
TXN-0045,USR-1106,26/01/2024,Bill Payment,4070,Success,USSD,Kano,FALSE
TXN-0046,USR-1409,23/01/2024,Withdrawal,472840,Success,USSD,Kano,FALSE
TXN-0047,USR-4582,03/01/2024,Bill Payment,3070,Failed,Web,Ibadan,FALSE
TXN-0048,USR-7912,22/01/2024,Withdrawal,31370,Success,USSD,Port Harcourt,FALSE
TXN-0049,USR-8359,31/01/2024,Withdrawal,45340,Success,App,Kano,FALSE
TXN-0050,USR-7912,07/01/2024,Withdrawal,35470,Success,Agent,Abuja,FALSE
